Key,en,es,ar,fr
Vendor Email Logs,Vendor Email Logs,Registros de correo electrónico de proveedores,سجلات البريد الإلكتروني للبائعين,Journaux de courrier électronique des fournisseurs
Information of Vendor,Information of Vendor,Información del vendedor,معلومات البائع,Informations sur le vendeur
Vendor Overview,Vendor Overview,Descripción general del proveedor,نظرة عامة على البائع,Présentation du fournisseur
Banned Vendors,Banned Vendors,Vendedores prohibidos,البائعين المحظورين,Vendeurs interdits
KYC Unverified Vendors,KYC Unverified Vendors,Proveedores no verificados de KYC,بائعون غير معتمدين من KYC,Fournisseurs non vérifiés KYC
Vendors To Users,Vendors To Users,De proveedores a usuarios,البائعين للمستخدمين,Des fournisseurs aux utilisateurs
Select Vendor,Select Vendor,Seleccionar proveedor,اختر البائع,Sélectionner le fournisseur
Active Vendors,Active Vendors,Proveedores activos,البائعين النشطين,Fournisseurs actifs
Re Submit,Re Submit,Volver a enviar,إعادة الإرسال,Soumettre à nouveau
Email Unverified Vendors,Email Unverified Vendors,Enviar correos electrónicos a proveedores no verificados,إرسال بريد إلكتروني إلى البائعين غير الموثوقين,Envoyer un e-mail aux fournisseurs non vérifiés
SMS Unverified Vendors,SMS Unverified Vendors,Proveedores de SMS no verificados,بائعي الرسائل القصيرة غير الموثوقين,Fournisseurs SMS non vérifiés
Email To Vendors,Email To Vendors,Correo electrónico a proveedores,البريد الإلكتروني للبائعين,Courriel aux fournisseurs
Vendor Details,Vendor Details,Detalles del proveedor,تفاصيل البائع,Détails du fournisseur
Oops! Vendor does not exists,Oops! Vendor does not exists,¡Ups! El proveedor no existe.,عفواً! البائع غير موجود,Oups ! Le vendeur n'existe pas.
Vendor already KYC verified,Vendor already KYC verified,El proveedor ya ha sido verificado por KYC,تم التحقق من هوية البائع بالفعل,Le fournisseur a déjà été vérifié KYC
Vendor KYC information not found,Vendor KYC information not found,No se encontró información KYC del proveedor,لم يتم العثور على معلومات KYC الخاصة بالبائع,Informations KYC du fournisseur introuvables
Vendor KYC successfully approved,Vendor KYC successfully approved,KYC del proveedor aprobado con éxito,تمت الموافقة على KYC البائع بنجاح,KYC du fournisseur approuvé avec succès
Vendor KYC information is rejected,Vendor KYC information is rejected,La información KYC del proveedor es rechazada,تم رفض معلومات KYC الخاصة بالبائع,Les informations KYC du fournisseur sont rejetées
Car Type,Car Type,Tipo de coche,نوع السيارة,Type de voiture
Add car,Add car,Añadir coche,أضف سيارة,Ajouter une voiture
Add New Car,Add New Car,Agregar nuevo auto,إضافة سيارة جديدة,Ajouter une nouvelle voiture
Vehicle Name,Vehicle Name,Nombre del vehículo,اسم السيارة,Nom du véhicule
Vehicle Type,Vehicle Type,Tipo de vehículo,نوع المركبة,Type de véhicule
Select Type,Select Type,Seleccionar tipo,حدد النوع,Sélectionnez le type
Vehicle Model,Vehicle Model,Modelo de vehículo,طراز السيارة,Modèle de véhicule
Total Seat,Total Seat,Asientos totales,إجمالي المقاعد,Nombre total de sièges
Per klm Charge,Per klm Charge,Cargo por klm,رسوم لكل كيلومتر,Frais par kilomètre
Experience,Experience,Experiencia,خبرة,Expérience
Car Photo,Car Photo,Foto de coche,صورة سيارة,Photo de voiture
Vehicle Number,Vehicle Number,Número de vehículo,رقم السيارة,Numéro de véhicule
Add Now,Add Now,Agregar ahora,أضف الآن,Ajouter maintenant
Edit Car,Edit Car,Editar coche,تعديل السيارة,Modifier la voiture
Per km,Per km,Por km,لكل كيلومتر,Par km
Year Experience,Year Experience,Año de experiencia,سنة الخبرة,Année d'expérience
Area Not Found,Area Not Found,Área no encontrada,لم يتم العثور على المنطقة,Zone non trouvée
Data fetch successfully,Data fetch successfully,Obtención de datos exitosa,تم جلب البيانات بنجاح,Récupération des données réussie
Car Created Successfully!,Car Created Successfully!,¡Coche creado exitosamente!,تم إنشاء السيارة بنجاح!,Voiture créée avec succès !
Car status updated successfully!,Car status updated successfully!,¡El estado del vehículo se actualizó correctamente!,تم تحديث حالة السيارة بنجاح!,Le statut de la voiture a été mis à jour avec succès !
Car Does not exists,Car Does not exists,El coche no existe,السيارة غير موجودة,La voiture n'existe pas
Car Updated Successfully!,Car Updated Successfully!,¡Coche actualizado exitosamente!,تم تحديث السيارة بنجاح!,Voiture mise à jour avec succès !
Car Deleted Successfully!,Car Deleted Successfully!,¡Coche eliminado exitosamente!,تم حذف السيارة بنجاح!,Voiture supprimée avec succès !
Car Area created successfully!,Car Area created successfully!,¡Área de coche creada correctamente!,تم إنشاء منطقة السيارة بنجاح!,Espace Voiture créé avec succès !
Car Area updated successfully!,Car Area updated successfully!,¡Área de coches actualizada correctamente!,تم تحديث منطقة السيارة بنجاح!,Car Area mis à jour avec succès !
Car Area Deleted Successfully!,Car Area Deleted Successfully!,¡Área del vehículo eliminada exitosamente!,تم حذف منطقة السيارة بنجاح!,Zone de voiture supprimée avec succès !
Car Area status updated successfully!,Car Area status updated successfully!,¡El estado del área del automóvil se actualizó correctamente!,تم تحديث حالة منطقة السيارة بنجاح!,Le statut de la zone automobile a été mis à jour avec succès !
Car Type created successfully!,Car Type created successfully!,¡Tipo de vehículo creado exitosamente!,تم إنشاء نوع السيارة بنجاح!,Type de voiture créé avec succès !
Car Type updated successfully!,Car Type updated successfully!,¡Tipo de vehículo actualizado exitosamente!,تم تحديث نوع السيارة بنجاح!,Le type de voiture a été mis à jour avec succès !
Car Type Deleted Successfully!,Car Type Deleted Successfully!,¡Tipo de vehículo eliminado exitosamente!,تم حذف نوع السيارة بنجاح!,Type de voiture supprimé avec succès !
Car Type status updated successfully!,Car Type status updated successfully!,¡El estado del tipo de vehículo se actualizó correctamente!,تم تحديث حالة نوع السيارة بنجاح!,Le statut du type de voiture a été mis à jour avec succès !
Find Your Car,Find Your Car,Encuentra tu coche,ابحث عن سيارتك,Trouvez votre voiture
Select Area,Select Area,Seleccionar área,حدد المنطقة,Sélectionner une zone
Destination,Destination,Destino,وجهة,Destination
Pick-up location,Pick-up location,Lugar de recogida,مكان الاستلام,Lieu de prise en charge
Pick-up date,Pick-up date,Fecha de recogida,تاريخ الاستلام,Date de prise en charge
Pick-up time,Pick-up time,Hora de recogida,وقت الاستلام,Heure de prise en charge
Round Trip,Round Trip,Ida y vuelta,رحلة ذهاب وعودة,Aller-retour
Note,Note,Nota,ملحوظة,Note
Find Now,Find Now,Encuentra ahora,ابحث الآن,Trouver maintenant
Car Number,Car Number,Número de coche,رقم السيارة,Numéro de voiture
Km Charge,Km Charge,Carga por km,كم رسوم,Frais kilométriques
Book Now,Book Now,Reservar ahora,احجز الآن,Réservez maintenant
Seat,Seat,Asiento,مقعد,Siège
Year,Year,Año,سنة,Année
Requirement Details Section,Requirement Details Section,Sección de detalles de requisitos,قسم تفاصيل المتطلبات,Section Détails des exigences
Add Requirement Details,Add Requirement Details,Agregar detalles del requisito,إضافة تفاصيل المتطلبات,Ajouter des détails sur les exigences
Your account has been suspended!,Your account has been suspended!,¡Su cuenta ha sido suspendida!,لقد تم تعليق حسابك!,Votre compte a été suspendu !
User Login,User Login,Inicio de sesión de usuario,تسجيل دخول المستخدم,Connexion utilisateur
Please enter the code,Please enter the code,"Por favor, introduzca el código",الرجاء إدخال الرمز,Veuillez entrer le code
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.,Code de vérification envoyé à votre adresse e-mail.
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña ha expirado,انتهت صلاحية رمز إعادة تعيين كلمة المرور,Jeton de réinitialisation du mot de passe expiré
Session expired. Please try again.,Session expired. Please try again.,La sesión ha expirado. Inténtalo de nuevo.,انتهت الجلسة. يُرجى المحاولة مرة أخرى.,Session expirée. Veuillez réessayer.
Verification code resend success!,Verification code resend success!,¡El código de verificación se reenvió con éxito!,تم إعادة إرسال رمز التحقق بنجاح!,Le code de vérification a été renvoyé avec succès !
Invalid Request. Please try again.,Invalid Request. Please try again.,Solicitud no válida. Inténtelo de nuevo.,طلب غير صالح. يُرجى المحاولة مرة أخرى.,Demande non valide. Veuillez réessayer.
Password reset success. Please login with new password.,Password reset success. Please login with new password.,Contraseña restablecida correctamente. Inicie sesión con una nueva contraseña.,تم إعادة تعيين كلمة المرور بنجاح. يُرجى تسجيل الدخول بكلمة مرور جديدة.,Réinitialisation du mot de passe réussie. Veuillez vous connecter avec un nouveau mot de passe.
User doesn't exists.,User doesn't exists.,El usuario no existe.,المستخدم غير موجود.,L'utilisateur n'existe pas.
User Profile,User Profile,Perfil de usuario,ملف تعريف المستخدم,Profil utilisateur
Current password didn\'t match,Current password didn\'t match,La contraseña actual no coincide,كلمة المرور الحالية لا تتطابق,Le mot de passe actuel ne correspond pas
Your account deleted successfully!,Your account deleted successfully!,¡Su cuenta fue eliminada exitosamente!,تم حذف حسابك بنجاح!,Votre compte a été supprimé avec succès !
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”","Vuelve y da tu consentimiento para que se elimine tu cuenta. Recuerda que no podrás reactivarla ni recuperar el contenido ni la información que hayas añadido. Si aún así deseas eliminar tu cuenta, haz clic en ""Eliminar cuenta"".","مرة أخرى، وكأن حسابك محذوف. تذكر أنك لن تتمكن من إعادة تفعيل حسابك أو استعادة أي محتوى أو معلومات أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر على ""حذف الحساب"".","Vous souhaitez supprimer votre compte. Notez que vous ne pourrez plus le réactiver ni récupérer le contenu ou les informations que vous avez ajoutés. Si vous souhaitez toujours supprimer votre compte, cliquez sur « Supprimer le compte »."
